path,git_status,tracked,subsystem,owner,completion_evidence,classification,proposed_group,include,reason,risk,validation_owner
.idea/caches/deviceStreaming.xml,M,tracked,IDE_CACHE,LOCAL_ONLY,EXCLUDED,LOCAL_ONLY,NONE,NO,IDE-specific local cache,LOW,
R1A_TEST.txt,M+A,tracked,V4_SCRATCH,Founder_legacy,EXCLUDED,SCRATCH,NONE,NO,R1A test artifact,LOW,
android/app/build.gradle,M,tracked,ANDROID_BUILD,Android,EXCLUDED,CONFIGURATION (deferred),NONE,NO,Android packaging experiment,LOW,
android/app/src/main/java/com/bhumiamartya/app/ReviewPlugin.java,A,untracked,ANDROID,Android,EXCLUDED,UNFINISHED,NONE,NO,Android packaging experiment,LOW,
android/app/src/main/java/com/bhumiamartya/app/Test.java,A,untracked,ANDROID,Android,EXCLUDED,SCRATCH,NONE,NO,Test artifact,LOW,
android/test.java,A,untracked,ANDROID,Android,EXCLUDED,SCRATCH,NONE,NO,Test artifact,LOW,
android/test.txt,A,untracked,ANDROID,Android,EXCLUDED,SCRATCH,NONE,NO,Test artifact,LOW,
android/test_write.txt,A,untracked,ANDROID,Android,EXCLUDED,SCRATCH,NONE,NO,Test artifact,LOW,
android/v4_test.txt,A,untracked,ANDROID,Android,EXCLUDED,SCRATCH,NONE,NO,Test artifact,LOW,
android/PROFILE_V4_RUNTIME_REPORT.md,?,untracked,DOC,Android/V4,EXCLUDED,UNFINISHED,NONE,NO,Android doc; not in V4 source-of-truth cycle,LOW,
app/admin/debug-hd/page.tsx,A,untracked,ADMIN,V4,EXCLUDED,UNRELATED (Admin Phase 6),NONE,NO,Admin page excluded by Founder,LOW,
app/admin/insights/page.tsx,A,untracked,ADMIN,V4,EXCLUDED,UNRELATED (Admin Phase 6),NONE,NO,Admin page excluded by Founder,LOW,
app/admin/metrics/page.tsx,A,untracked,ADMIN,V4,EXCLUDED,UNRELATED (Admin Phase 6),NONE,NO,Admin page excluded by Founder,LOW,
app/api/ai/daily-guidance/route.ts,M,tracked,AI_GATEWAY,GROUP5,DELTA +48 lines,AI_GATEWAY,GROUP5,YES (after package review),V4 AI gateway hardening,LOW,
app/api/humandesign/calculate/route.ts,D,tracked,WEB_CLEANUP,Build70,DELTA -451 lines,DESTRUCTIVE_UNPROVEN (web-cleanup approved but Founder default EXCLUDE),NONE (isolated),NO by default,Web-only fallback route; Android uses Cloud Run HTTPS via env var; deletion APPROVED but default EXCLUDE for safety,LOW,Founder
app/blueprint/astrocartography/,?,untracked,BLUEPRINT_10,GROUP1,NEW ROUTE,BLUEPRINT_SYSTEM,GROUP1,YES,Astrocartography system route,LOW,GROUP1
app/blueprint/bazi/page.tsx,M,tracked,BLUEPRINT_6,GROUP1,DELTA 44 lines,BLUEPRINT_SYSTEM,GROUP1,YES,BaZi system route update,LOW,GROUP1
app/blueprint/bazi/page_new.tsx,A,untracked,BLUEPRINT_6_SCRATCH,V4,EXCLUDED,UNFINISHED,NONE,NO,Scratch alternate page,LOW,
app/blueprint/destiny-matrix/page.tsx,M,tracked,BLUEPRINT_4,GROUP1,DELTA 258 lines,BLUEPRINT_SYSTEM,GROUP1,YES,Destiny Matrix route recovery,LOW,GROUP1
app/blueprint/human-design/page.tsx,M,tracked,BLUEPRINT_2,GROUP1,DELTA 350 lines,BLUEPRINT_SYSTEM,GROUP1,YES,Human Design route recovery,LOW,GROUP1
app/blueprint/natal-chart/page.tsx,M,tracked,BLUEPRINT_3,GROUP1,DELTA 74 lines,BLUEPRINT_SYSTEM,GROUP1,YES,Natal Chart route recovery,LOW,GROUP1
