path,reason,risk,disposition
# Phase 7 mandatory exclusions
.idea/caches/deviceStreaming.xml,IDE cache,LOCAL_ONLY,Excluded
.audit/,Phase 7 mandatory,LOCAL_ONLY,Excluded
audit/,Phase 7 mandatory,LOCAL_ONLY,Excluded
phase-a-audit/,Phase 7 mandatory,LOCAL_ONLY,Excluded
phase-b-validation/,Phase 7 mandatory,LOCAL_ONLY,Excluded
test-results/,Phase 7 mandatory,GENERATED,Excluded
snapshots/,Phase 7 mandatory,LOCAL_ONLY,Excluded
recovery_backups/,Phase 7 mandatory,LOCAL_ONLY,Excluded
aab_check/,Phase 7 mandatory,LOCAL_ONLY,Excluded
v4_dev/,Phase 7 mandatory,SCRATCH,Excluded
tsconfig.tsbuildinfo,Phase 7 mandatory,GENERATED,Excluded
response.html,Phase 7 mandatory,RESPONSE_CAPTURE,Excluded

# _dump.xml files (Phase 7)
chooser_dump.xml,Phase 7,DEBUG_DUMP,Excluded
dashboard_dump.xml,Phase 7,DEBUG_DUMP,Excluded
journey_dump.xml,Phase 7,DEBUG_DUMP,Excluded
landing_dump.xml,Phase 7,DEBUG_DUMP,Excluded
location_dump.xml,Phase 7,DEBUG_DUMP,Excluded
login_dump.xml,Phase 7,DEBUG_DUMP,Excluded
profile_dump.xml,Phase 7,DEBUG_DUMP,Excluded
settings_sheet_dump.xml,Phase 7,DEBUG_DUMP,Excluded
window_dump.xml,Phase 7,DEBUG_DUMP,Excluded

# _copy.* files
auditMocks_copy.txt,Phase 7,SCRATCH,Excluded
normalize_copy.txt,Phase 7,SCRATCH,Excluded
normalize_v2.txt,Phase 7,SCRATCH,Excluded
time_copy.txt,Phase 7,SCRATCH,Excluded
translations_copy.txt,Phase 7,SCRATCH,Excluded
version_copy.txt,Phase 7,SCRATCH,Excluded
lib/types/journeyDailyRecord_copy.ts,DUPLICATE_SOURCE,SCRATCH,Excluded

# _read.* files
components/dashboard/SoulReflectionCard_read.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/normalize_read.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/normalize_read_v2.txt,Phase 7,SCRATCH,Excluded
lib/engines/dailyGuidanceEngine_read.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/normalize_check.txt,Phase 7,SCRATCH,Excluded
lib/prompts/bhumiSoulMirrorPrompt_read.txt,Phase 7,SCRATCH,Excluded
lib/prompts/dailyGuidancePrompt_read.txt,Phase 7,SCRATCH,Excluded
lib/prompts/dailyGuidancePrompt_verify.txt,Phase 7,SCRATCH,Excluded

# _clean.* files
lib/dailyGuidanceEngine_clean.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidancePrompt_clean.txt,Phase 7,SCRATCH,Excluded

# _backup.* files
lib/firebase/service_backup.ts,Phase 7,TEMP_BACKUP,Excluded
lib/services/dailyGuidanceService.ts.tmp,Phase 7,TEMP_BACKUP,Excluded

# *.tmp files
lib/prompts/dailyGuidancePrompt.ts.txt,Phase 7,SCRATCH,Excluded

# Scratch / root test files
R1A_TEST.txt,Phase 7,SCRATCH,Excluded
test.txt,Phase 7,SCRATCH,Excluded
test_perm.txt,Phase 7,SCRATCH,Excluded
simple.txt,Phase 7,SCRATCH,Excluded
v4_presentation_audit.txt,Phase 7,SCRATCH,Excluded
v4_refactor_test.txt,Phase 7,SCRATCH,Excluded
android/test.java,Phase 7,SCRATCH,Excluded
android/test.txt,Phase 7,SCRATCH,Excluded
android/test_write.txt,Phase 7,SCRATCH,Excluded
android/v4_test.txt,Phase 7,SCRATCH,Excluded
app/test.txt,Phase 7,SCRATCH,Excluded
lib/test.txt,Phase 7,SCRATCH,Excluded
lib/test_2.txt,Phase 7,SCRATCH,Excluded
lib/test_language.txt,Phase 7,SCRATCH,Excluded
lib/test_new.txt,Phase 7,SCRATCH,Excluded
lib/test_new_2.txt,Phase 7,SCRATCH,Excluded
lib/test_write.txt,Phase 7,SCRATCH,Excluded
lib/access/test.txt,Phase 7,SCRATCH,Excluded
lib/access/fix.txt,Phase 7,SCRATCH,Excluded
lib/access/temp_test.txt,Phase 7,SCRATCH,Excluded
lib/access/dummy.tsx,Phase 7,SCRATCH,Excluded
lib/config/test.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/test_write_2.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/test_write_tool.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/test_write_v4.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/timeOfDayGreeting.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/v4_refactor_test.txt,Phase 7,SCRATCH,Excluded
lib/dailyGuidance/v4_write_test.txt,Phase 7,SCRATCH,Excluded
lib/firebase/test.txt,Phase 7,SCRATCH,Excluded
lib/services/test.txt,Phase 7,SCRATCH,Excluded
lib/services/test_file.txt,Phase 7,SCRATCH,Excluded
lib/services/test_audit_runtime.ts,Phase 7,SCRATCH,Excluded
