path,proposed_group,classification,owner,note
# GROUP 1: Eleven Blueprint Systems
lib/numerology/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Numerology calculation module
lib/humandesign/presentation.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,HD presentation
lib/astrology/presentation.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Astrology presentation
lib/astrology/fixtures.ts,GROUP1,FIXTURE,GROUP1,Astrology fixtures
lib/weton/presentation.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Weton presentation
lib/weton/presentation.fixtures.ts,GROUP1,FIXTURE,GROUP1,Weton fixtures
lib/bazi/baziMeaning.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,BaZi meaning
lib/vedic/presentation.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Vedic presentation
lib/vedic/presentation.fixtures.ts,GROUP1,FIXTURE,GROUP1,Vedic fixtures
lib/vedic/calculateVedic.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Vedic calculation
lib/vedic/types.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Vedic types
lib/tzolkin/presentation.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Tzolkin presentation
lib/tzolkin/presentation.fixtures.ts,GROUP1,FIXTURE,GROUP1,Tzolkin fixtures
lib/destiny-matrix/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Destiny Matrix module
lib/astrocartography/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Astrocartography module
lib/whole-sign/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Whole Sign module
lib/zi-wei/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Zi Wei module
lib/calculations/destinyMatrix/energy.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM energy calc
lib/engines/destinyMatrixGraph.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM graph engine
lib/engines/destinyMatrixProjection.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM projection
lib/engines/destinyMatrixBlueprintAdapter.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM blueprint adapter
lib/engines/destinyMatrixHumanIntelligence.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM human intelligence
lib/engines/generateBlueprint.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Blueprint generation
lib/visual/destinyMatrixVisualModel.ts,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM visual model
lib/types/blueprint.ts,GROUP1,TYPES,GROUP1,Blueprint types
lib/data/types.ts,GROUP1,TYPES (shared),GROUP1,Data types (Blueprint-related)
app/blueprint/numerology/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Numerology route
app/blueprint/human-design/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,HD route
app/blueprint/natal-chart/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Natal route
app/blueprint/destiny-matrix/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM route
app/blueprint/tzolkin/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Tzolkin route
app/blueprint/vedic/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Vedic route
app/blueprint/weton/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Weton route
app/blueprint/bazi/page.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,BaZi route
app/blueprint/astrocartography/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Astrocartography route
app/blueprint/whole-sign/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Whole Sign route
app/blueprint/zi-wei/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Zi Wei route
components/blueprint/DestinyMatrixVisual.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,DM visual component
components/blueprint/AstrocartographyMap.tsx,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Astrocartography map
components/zi-wei/**,GROUP1,BLUEPRINT_SYSTEM,GROUP1,Zi Wei components
scripts/validateAstrocartography*.ts,GROUP1,VALIDATOR,GROUP1,Astrocartography validators (58/58)
scripts/auditAstrocartographyForensic.ts,GROUP1,VALIDATOR,GROUP1,Astrocartography forensic audit
scripts/audit_astrocartography_independent.py,GROUP1,VALIDATOR,GROUP1,Astrocartography independent audit
scripts/validateWholeSignR7A.ts,GROUP1,VALIDATOR,GROUP1,Whole Sign validator (54/54)
scripts/checkZiWei.ts,GROUP1,VALIDATOR,GROUP1,Zi Wei validator (80/80)
scripts/validateTzolkinR5.ts,GROUP1,VALIDATOR,GROUP1,Tzolkin R5 validator
scripts/validateVedicR5.ts,GROUP1,VALIDATOR,GROUP1,Vedic R5 validator (63/63)
scripts/validateWetonR5.ts,GROUP1,VALIDATOR,GROUP1,Weton R5 validator
scripts/validateWetonSprint1.js,GROUP1,VALIDATOR,GROUP1,Weton sprint 1
scripts/wetonFounderAcceptance.js,GROUP1,VALIDATOR,GROUP1,Weton founder acceptance
scripts/wetonSprint1Verify.js,GROUP1,VALIDATOR,GROUP1,Weton sprint 1 verify
scripts/validateDestinyMatrixR5.ts,GROUP1,VALIDATOR,GROUP1,DM R5 validator
scripts/validateDestinyMatrixAncestralProjection.ts,GROUP1,VALIDATOR,GROUP1,DM ancestral projection
scripts/validateDestinyMatrixAnnualArcana.ts,GROUP1,VALIDATOR,GROUP1,DM annual arcana
scripts/validateDestinyMatrixHealthInterpretation.ts,GROUP1,VALIDATOR,GROUP1,DM health interpretation
scripts/auditDestinyMatrixHealthOrigins.ts,GROUP1,VALIDATOR,GROUP1,DM health origins audit
scripts/verifyBaziSimilarity.ts,GROUP1,VALIDATOR,GROUP1,BaZi similarity
scripts/simulateSameLifePathUniqueness.ts,GROUP1,VALIDATOR,GROUP1,Life path uniqueness

# GROUP 2: Wellness V4
lib/engines/wellnessRecommendationEngine.ts,GROUP2,WELLNESS_V4,GROUP2,Wellness recommendation engine
